RFP_ID,Company_Name,Link,Owner,Publish_Date,End_Date,Event_Type,Status,Participated,Description,Note
Aramco_4203226823_CABLE INSTRUMENTATION THERMOCOUPLE,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPH3N4lNr&awcharset=UTF-8,"Alshareedah, Njoud",9/22/2025 2:16 PM,09/24/2025 07:30 PM,RFP,,Yes,,
Aramco_4203224398_CABLE; ELECTRICAL; MOTOR AND TRANSFORMER,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPH11tHaC&awcharset=UTF-8,"Nimr, Hussain",9/17/2025 5:03 PM,45756.645833333336,RFP,,No,,
"Aramco_4203221143_CABLE, POWER, 69 KV THROUGH 138 KV",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPHslTpnh&awcharset=UTF-8,"Aldossary, Shaikha",8/27/2025 5:46 PM,08/21/2025 10:45 AM,RFP,,Yes,,
Aramco_4203222770_CABLE INSTRUMENTATION THERMOCOUPLE,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPHd28y4d&awcharset=UTF-8,"Shinawi, Ahmed",7/27/2025 10:04 AM,08/19/2025 07:30 PM,RFP,,No,,
"Aramco_4203222493_CABLE, ELECTRICAL, LOW VOLTAGE",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPHlNQILz&awcharset=UTF-8,"Nimr, Hussain",8/13/2025 10:03 AM,08/14/2025 07:30 PM,RFP,,Yes,,
Aramco_4203220394_CABLE; ELECTRICAL; LOW VOLTAGE; POWER OR,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPHjc0QJa&awcharset=UTF-8,"Aldossary, Meaad",8/7/2025 1:32 PM,07/23/2025 07:30 PM,RFP,,Yes,,
"Aramco_4203219829_CABLE ELECTRICAL LOW VOLTAGE, INSTRUMENT",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPHa1JsB%21&awcharset=UTF-8,"Shinawi, Ahmed",7/16/2025 12:34 PM,07/13/2025 07:30 PM,RFP,,Yes,,
"Aramco_4203219457_CABLE, POWER, 5KV THROUGH 35 KV",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPHYd6fGn&awcharset=UTF-8,"Alomran, Abdulaziz",7/9/2025 10:02 AM,45907.8125,RFP,,Yes,,
Aramco_4203217313_CABLE TRAY; ALUMINUM OR STEEL,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPHWofRhT&awcharset=UTF-8,"Abdulkarem, Turki",7/3/2025 6:32 PM,45876.8125,RFP,,Declined,,
"Aramco_4203218407_COVER, CABLE TRAY 6096 MM (24 IN)",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPHOzrMP6&awcharset=UTF-8,"Alfaleh, Maha",6/29/2025 3:16 PM,06/29/2025 07:30 PM,RFP,,Declined,,
Aramco_4203203287_CABLE 1KV XLPE PVC 1 C 50MM2 (1 0 AWG),Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPHSoPBwO&awcharset=UTF-8,"Alfaleh, Maha",6/24/2025 12:21 PM,06/24/2025 07:30 PM,RFP,,Yes,,
Aramco_4203210647_WIRE; ELECTRICAL; BUILDING; IEC OR NEC U,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPGoWo1s7&awcharset=UTF-8,"Almannai, Khalid",6/17/2025 1:08 PM,45694.8125,RFP,,Yes,,
"Aramco_4203214706_CABLE, ELECTRICAL, MEDIUM VOLTAGE",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPG8BSfd%2B&awcharset=UTF-8,"Almannai, Khalid",4/29/2025 5:18 PM,05/18/2025 07:30 PM,RFP,,Yes,,
"Aramco_4203203996_CABLE, POWER, 5KV THROUGH 35 KV",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPHHT0ZeJ&awcharset=UTF-8,"Shinawi, Ahmed",5/11/2025 6:18 PM,45966.8125,RFP,,No,,
"Aramco_4203203997_CABLE, POWER, 5KV THROUGH 35 KV",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPGqPfzto&awcharset=UTF-8,"Almannai, Khalid",3/16/2025 2:17 PM,45966.8125,RFP,,Yes,,
"Aramco_4203212161_CABLE, POWER, 5KV THROUGH 35 KV",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPGqPfDHK&awcharset=UTF-8,"Almannai, Khalid",3/16/2025 2:17 PM,45662.8125,RFP,,Yes,,
"Aramco_4203207498_CABLE, POWER, 5KV THROUGH 35 KV",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPG%217OQ%21V&awcharset=UTF-8,"Almannai, Khalid",4/24/2025 4:01 PM,04/28/2025 07:30 PM,RFP,,Yes,,
Aramco_4203209839_WIRE; ELECTRICAL; BUILDING; IEC OR NEC U,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPGzttfp9&awcharset=UTF-8,"Almannai, Khalid",3/25/2025 4:32 PM,04/24/2025 07:30 PM,RFP,,Yes,,
"Aramco_4203210944_CABLE, POWER, 5KV THROUGH 35 KV",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPG5zVFlT&awcharset=UTF-8,"Almannai, Khalid",4/16/2025 5:53 PM,04/17/2025 07:30 PM,RFP,,Declined,,
Aramco_4203210094_CABLE; ELECTRICAL; LOW VOLTAGE; POWER OR,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPG831IN8&awcharset=UTF-8,"Shinawi, Ahmed",4/10/2025 6:16 PM,04/17/2025 02:30 PM,RFP,,Yes,,
Aramco_4203209823_WIRE; ELECTRICAL; BUILDING; IEC OR NEC U,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPG6jGenP&awcharset=UTF-8,"Shinawi, Ahmed",4/15/2025 12:18 PM,04/16/2025 07:30 PM,RFP,,Declined,,
Aramco_4203210389_CABLE; ELECTRICAL; LOW VOLTAGE; POWER OR,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPG5yS45E&awcharset=UTF-8,"Almannai, Khalid",4/10/2025 12:01 PM,04/14/2025 07:30 PM,RFP,,Yes,,
Aramco_4203209643_CABLE TRAY; Aluminum OR STEEL,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPG7liMlt&awcharset=UTF-8,"Shinawi, Ahmed",4/7/2025 5:32 PM,45934.8125,RFP,,No,,
"Aramco_4203209976_CHANNEL, FRAMING 61 M (20 FT) LG,",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPG5HqoOv&awcharset=UTF-8,"Alfaleh, Maha",3/26/2025 12:47 PM,45904.8125,RFP,,Declined,,
Aramco_4203210005_CABLE POWER AND CONTROL; 600V-1000V;,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPG6GnlH2&awcharset=UTF-8,"Alfaleh, Maha",3/27/2025 12:47 PM,45873.8125,RFP,,Yes,,
"Aramco_4203209998_CABLE, POWER, 69 KV THROUGH 138 KV",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPG6M2xVn&awcharset=UTF-8,"Shinawi, Ahmed",4/3/2025 11:31 AM,45873.8125,RFP,,No,,
Aramco_4203202889_CABLE; ELECTRICAL; LOW VOLTAGE; POWER OR,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPG6L8adM&awcharset=UTF-8,"Shinawi, Ahmed",3/26/2025 5:31 PM,03/26/2025 02:30 PM,RFP,,Yes,,
